run_id,condition,rt,responses,task,trial_type,trial_index,time_elapsed,internal_node_id,left_shape,right_shape,bias_shape,subject_id,stimulus,key_press,phase,block,trial,rewarded,image,unrewarded_left_trials,unrewarded_right_trials,correct_shape,response,correct,did_reward,value,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version
35,1,3464.429999999993,"{""Q0"":""CDA21""}",id,survey-text,0,3500,0.0-0.0,cats,dogs,dogs,CDA21,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","2021-03-16 19:09:39",68.104.142.91,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.105 Safari/537.36 Edg/84.0.522.52",WebKit,Edge,84.0.522.52,Windows,10.0
35,1,29715.25499999916,"""","""",html-keyboard-response,1,33221,0.0-1.0-0.0,cats,dogs,dogs,CDA21,"<p>Before you begin, please do the following: </p> <ol style=""text-align: left;""> <li> Place your computer on a flat surface. </li> 
	  <li> Seat yourself so that your face is approximately 1.5 feet (50 cm) from the screen.  </li>
	  <li>Ensure that your computer sound is switched on. </li> </ol>
	  <p>Press the spacebar to continue.</p>",32,"""","""","""","""","""","""","""","""","""","""","""","""","2021-03-16 19:09:39",68.104.142.91,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.105 Safari/537.36 Edg/84.0.522.52",WebKit,Edge,84.0.522.52,Windows,10.0
35,1,20169.794999999795,"""","""",html-keyboard-response,2,53393,0.0-1.0-1.0,cats,dogs,dogs,CDA21,"<p>Please position your index fingers on the ""S"" and ""L"" keys for this experiment.
        The game will last approximately 10 minutes and is composed of 3 blocks 
        separated by a break.</p><p>Press the spacebar to continue.</p>",32,"""","""","""","""","""","""","""","""","""","""","""","""","2021-03-16 19:09:39",68.104.142.91,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.105 Safari/537.36 Edg/84.0.522.52",WebKit,Edge,84.0.522.52,Windows,10.0
35,1,15240.085000001272,"""","""",html-keyboard-response,3,68635,0.0-1.0-2.0,cats,dogs,dogs,CDA21,"<p>You will be presented with either an image with more dogs than cats, or an image with 
        more cats than dogs. You will see them one at a time.</p>
        <p>Your task will be to decide whether more dogs or more cats were presented by pushing the correct button as quickly
        and accurately as possible.</p>
        <p>The ""S"" key will be used to identify more cats and the ""L"" key will be used 
        to identify more dogs. Examples of what the images look like are below:</p>
        <p style=""height: 300px;"">
        <img style=""width:250px; float: left;"" src=""img/7S_10C_yellow3.jpg""></img>
        <img style=""width:250px; float: right;"" src=""img/7C_10S_yellow3.jpg""></img>
        <span style=""text-align:center; width:250px; clear:both; float: left;"">More cats = S</span>
        <span style=""text-align:center; width:250px; float: right;"">More dogs = L</span>
        </p>
        <p>Press the spacebar to continue.</p>",32,"""","""","""","""","""","""","""","""","""","""","""","""","2021-03-16 19:09:39",68.104.142.91,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.105 Safari/537.36 Edg/84.0.522.52",WebKit,Edge,84.0.522.52,Windows,10.0
35,1,1772.8550000010728,"""","""",html-keyboard-response,4,70410,0.0-1.0-3.0,cats,dogs,dogs,CDA21,"<p style=""font-size: 18px;"">More cats</p>
        <img src=""img/yellow_circle.jpeg"" style=""width:100px;""></img>
        <p>The [S] key will be used to identify pictures with <span style=""text-decoration: underline;"">more cats.</span></p>
        <img style=""width:250px;"" src=""img/7S_10C_yellow3.jpg""></img>
        <p>Press the [S] key to continue.</p>",83,"""","""","""","""","""","""","""","""","""","""","""","""","2021-03-16 19:09:39",68.104.142.91,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.105 Safari/537.36 Edg/84.0.522.52",WebKit,Edge,84.0.522.52,Windows,10.0
35,1,692.9149999996298,"""","""",html-keyboard-response,5,71105,0.0-1.0-4.0,cats,dogs,dogs,CDA21,"<p style=""font-size: 18px;"">More dogs</p>
        <img src=""img/yellow_square.jpeg"" style=""width:100px;""></img>
        <p>The [L] key will be used to identify pictures with <span style=""text-decoration: underline;"">more dogs.</span></p>
        <img style=""width:250px;"" src=""img/7C_10S_yellow3.jpg""></img>
        <p>Press the [L] key to continue.</p>",76,"""","""","""","""","""","""","""","""","""","""","""","""","2021-03-16 19:09:39",68.104.142.91,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.105 Safari/537.36 Edg/84.0.522.52",WebKit,Edge,84.0.522.52,Windows,10.0
35,1,5988.784999999552,"""","""",html-keyboard-response,6,77094,0.0-1.0-5.0,cats,dogs,dogs,CDA21,"<p>Now, let's take a practice run. You will see a fixation cross, '+', on the screen. You should always focus your
        attention on the fixation cross as this will help you identify the image as quickly and accurately as possible. The fixation
        cross will be followed by an image with more dogs or more cats. Remember, if you think there are more cats
        press the ""S"" key. If you think there are more dogs press the ""L"" key.</p>
        <p>If you understand these directions and are ready to proceed to the practice round, please press the spacebar.</p>",32,"""","""","""","""","""","""","""","""","""","""","""","""","2021-03-16 19:09:39",68.104.142.91,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.105 Safari/537.36 Edg/84.0.522.52",WebKit,Edge,84.0.522.52,Windows,10.0
35,1,null,"""","""",html-keyboard-response,7,77603,0.0-2.0-0.0-0.0,cats,dogs,dogs,CDA21,"<p class=""fixation"">+</p>",null,practice,"""","""","""","""","""","""","""","""","""","""","""","2021-03-16 19:09:39",68.104.142.91,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.105 Safari/537.36 Edg/84.0.522.52",WebKit,Edge,84.0.522.52,Windows,10.0
35,1,1176.4400000010937,"""",respond,html-keyboard-response,8,78782,0.0-2.0-0.0-1.0,cats,dogs,dogs,CDA21,"<img src=""img/7C_10S_yellow6.jpg"" style=""width:500px;""></img>",76,practice,null,null,null,img/7C_10S_yellow6.jpg,0,0,dogs,dogs,true,false,"""","2021-03-16 19:09:39",68.104.142.91,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.105 Safari/537.36 Edg/84.0.522.52",WebKit,Edge,84.0.522.52,Windows,10.0
35,1,null,"""",accuracy-feedback,audio-keyboard-response,9,80286,0.0-2.0-0.0-2.0,cats,dogs,dogs,CDA21,mp3/reward-coin-drop.mp3,null,practice,"""","""","""","""","""","""","""","""","""","""","""","2021-03-16 19:09:39",68.104.142.91,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.105 Safari/537.36 Edg/84.0.522.52",WebKit,Edge,84.0.522.52,Windows,10.0
35,1,null,"""","""",html-keyboard-response,10,81789,0.0-2.0-0.0-3.0-0.0,cats,dogs,dogs,CDA21,"
      <div style=""position: absolute; top: 2vh; left: 2vw;"">
        <img src=""img/yellow_circle.jpeg"" style=""width:100px;""></img>
        <p>S = cats</p>
      </div>
      <div style=""position: absolute; top: 2vh; right: 2vw;"">
        <img src=""img/yellow_square.jpeg"" style=""width:100px;""></img>
        <p>L = dogs</p>
      </div>",null,practice,"""","""","""","""","""","""","""","""","""","""","""","2021-03-16 19:09:39",68.104.142.91,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.105 Safari/537.36 Edg/84.0.522.52",WebKit,Edge,84.0.522.52,Windows,10.0
35,1,null,"""","""",html-keyboard-response,11,82291,0.0-2.0-0.0-0.1,cats,dogs,dogs,CDA21,"<p class=""fixation"">+</p>",null,practice,"""","""","""","""","""","""","""","""","""","""","""","2021-03-16 19:09:39",68.104.142.91,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.105 Safari/537.36 Edg/84.0.522.52",WebKit,Edge,84.0.522.52,Windows,10.0
35,1,1042.844999999943,"""",respond,html-keyboard-response,12,83335,0.0-2.0-0.0-1.1,cats,dogs,dogs,CDA21,"<img src=""img/7S_10C_yellow3.jpg"" style=""width:500px;""></img>",83,practice,null,null,null,img/7S_10C_yellow3.jpg,0,0,cats,cats,true,false,"""","2021-03-16 19:09:39",68.104.142.91,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.105 Safari/537.36 Edg/84.0.522.52",WebKit,Edge,84.0.522.52,Windows,10.0
